1:Huawei Y5:Android M OS 6.0:5" IPS LCD 720 x 1280 pixels (~294 ppi pixel density):150 gm:2 GB:16 GB:8 MP AF:5 MP:3000mAh Li-ion:June,2017:Japan:10490:
2:Huawei Y7:Android N OS 7.0:5.5" IPS LCD 720 x 1280 pixels (~267 ppi density):165 gm:2 GB:16 GB:12 MP:8 MP:4000mAh Li-Ion non-removeable:July,2017:Japan:13990:
3:Huawei Y3:Android M OS 6.0:5" IPS LCD 480 x 854 pixels (~196 ppi pixel density):175 gm:1 GB:8 GB:8 MP AF:2 MP:2200mAh Li-ion:June,2017:Japan:7990:
4:Huawei Mate 10 Pro:Android O OS 8.0:6" AMOLED 1080 x 2160 pixels (~402 ppi density):178 gm:6 GB:128 GB:Dual-12 MP +20 MP:8 MP:4000mAh Li-Po non-removeable:January 2017:Japan:15000:
5:HUAWEI nova 2i:Android N OS 7.0:5.9" IPS LCD 1080 x 2160 pixels (~409 ppi pixel density):164 gm:4 GB:64 GB:Dual 16M+2M:Dual 13M+2M:3340mAh Li-Ion:Octobar,2017:Japan:26990:
6:Huawei Y7 Prime:Android N OS 7.0:5.5" IPS LCD 720x1280 pixels (~267 ppi pixel density):165 gm:3 GB:32 GB:12 MP AF:8 MP AF:4000mAh Li-Ion non-removeable:January,2017:Japan:12500:
7:Huawei GR3:Android N OS 7.0:5.2" IPS LCD 1080 x 1920 pixels (~424 ppi pixel density):147 gm:3 GB:16 GB:12 MP AF:8 MP AF:3000mAh Li-Ion non-removeable:Febuary,2016:Korea:11500:
8:Huawei Y5II:Android L OS 5.1:5.2" IPS LCD 1080 x 2160 pixels:135 gm:1 GB:8 GB:8 MP AF:2 MP:2200mAh Li-po:March,2017:Korea:16550:
9:Huawei P8lite :Android M OS 6.0:5.5" IPS LCD 720x1280 pixels (~267 ppi pixel density):131 gm:2 GB:16 GB:13 MP AF:5 MP AF:2200mAh Li-Ion non-removeable:June,2017:China:15490:
10:Huawei MediaPad T3 7.0 :Android M OS 6.0:7" IPS LCD 600 x 1024 pixels (~170 ppi density):250 gm:1 GB:8 GB:2 MP:2 MP:3100mAh Li-Ion:April,2017:China:10390:
11:Huawei P9 lite:Android M OS 6.0:5.2" IPS LCD 1080 x 2160 pixels:147 gm:3 GB:16 GB:13 MP AF:8 MP AF:3000mAh Li-Ion non-removeable:September,2017:Japan:21900:
12:Huawei Y6 II Prime:Android M OS 6.0:5.5" IPS LCD 720x1280 pixels (~267 ppi pixel density):175gm:3 GB:32 GB:13 MP AF:8 MP AF:3000mAh:Octobar,2016:Korea:14450:
